X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0260152916546,38.8930357857616,28467931,38.893028,-77.026013,10th St & Constitution Ave NW,classic,76,active,2021/11/01 10:56:28+00,3,0,26,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0555723008236,38.8973007859184,28467932,38.897293,-77.05557,Kennedy Center,classic,77,active,2021/11/01 10:42:33+00,10,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9952362815061,38.8841027853526,28467933,38.884095,-76.995234,Eastern Market Metro / Pennsylvania Ave & 8th St SE,classic,78,active,2021/11/01 11:15:08+00,12,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0417812971495,38.9050747877066,28467934,38.905067,-77.041779,18th & M St NW,classic,79,active,2021/11/01 11:16:43+00,3,0,23,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0793843111769,38.947614794478,28467935,38.947607,-77.079382,Tenleytown / Wisconsin Ave & Albemarle St NW,classic,80,active,2021/11/01 09:17:18+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9882522799806,38.9004347886716,28467936,38.900427,-76.98825,13th & H St NE,classic,81,active,2021/11/01 11:10:38+00,20,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0193492894624,38.8972297865742,28467937,38.897222,-77.019347,5th & F St NW,classic,82,active,2021/11/01 10:57:35+00,14,0,17,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0333562943199,38.8990397867887,28467938,38.899032,-77.033354,New York Ave & 15th St NW,classic,83,active,2021/11/01 11:14:42+00,4,0,14,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0222722909774,38.9057447883907,28467939,38.905737,-77.02227,Convention Center / 7th & M St NW,classic,84,active,2021/11/01 09:47:02+00,20,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0159722896162,38.9176297911223,28467940,38.917622,-77.01597,3rd & Elm St NW,classic,249,active,2021/11/01 10:47:15+00,12,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0047482860609,38.918162791453,28467941,38.918155,-77.004746,Rhode Island Ave & V St NE,classic,250,active,2021/11/01 09:14:40+00,6,0,11,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0139192874844,38.8922827862616,28467942,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,classic,251,active,2021/11/01 11:15:42+00,5,0,20,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0137712870355,38.8869857853623,28467943,38.886978,-77.013769,Washington & Independence Ave SW/HHS,classic,252,active,2021/11/01 11:13:04+00,10,0,21,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
